ATYPIDAE,Atypus,affinis,Eichwald, 1830 E S W RI NS 
LINYPHIIDAE,Walckenaeria,clavicornis,(Emerton, 1882) E S W NI RI NS 
LINYPHIIDAE,Walckenaeria,cuspidata,Blackwall, 1833 E S W NI RI 
LINYPHIIDAE,Walckenaeria,vigilax,(Blackwall, 1853) E S W NI RI 
LINYPHIIDAE,Dicymbium,nigrum,(Blackwall, 1834) E S W NI RI 
LINYPHIIDAE,Dicymbium,nigrum,brevisetosum Locket, 1962 Dicymbium brevisetosum D. nigrum f. brevisetosum E S W NI RI 
LINYPHIIDAE,Dicymbium,tibiale,(Blackwall, 1836) E S W NI RI 
LINYPHIIDAE,Entelecara,acuminata,(Wider, 1834) E S W NI RI 
LINYPHIIDAE,Entelecara,congenera,(O. P.-Cambridge, 1879) E W NS 
LINYPHIIDAE,Entelecara,erythropus,(Westring, 1851) E S W NI RI 
LINYPHIIDAE,Entelecara,flavipes,(Blackwall, 1834) E S W RI NS 
LINYPHIIDAE,Entelecara,omissa,O. P.-Cambridge, 1902 E RI NS 
LINYPHIIDAE,Entelecara,errata,O. P.-Cambridge, 1913 E S W RI NS 
LINYPHIIDAE,Moebelia,penicillata,(Westring, 1851) E S W NI RI NS 
LINYPHIIDAE,Hylyphantes,graminicola,(Sundevall, 1830) E S 
LINYPHIIDAE,Gnathonarium,dentatum,(Wider, 1834) E S W NI RI 
LINYPHIIDAE,Trematocephalus,cristatus,(Wider, 1834) E NS 
LINYPHIIDAE,Tmeticus,affinis,(Blackwall, 1855) E S W RI NS 
LINYPHIIDAE,Gongylidium,rufipes,(Linnaeus, 1758) E S W NI RI 
LINYPHIIDAE,Dismodicus,bifrons,(Blackwall, 1841) E S W NI RI 
LINYPHIIDAE,Dismodicus,elevatus,(C. L. Koch, 1838) E S NR V 
LINYPHIIDAE,Hypomma,bituberculatum,(Wider, 1834) E S W NI RI 
LINYPHIIDAE,Hypomma,fulvum,(Bösenberg, 1902) E W NI RI NS 
LINYPHIIDAE,Hypomma,cornutum,(Blackwall, 1833) E S W NI RI 
LINYPHIIDAE,Metopobactrus,prominulus,(O. P.-Cambridge, 1872) E S W NI RI 
LINYPHIIDAE,Hybocoptus,corrugis,(O. P.-Cambridge, 1875) Hybocoptus decollatus Hybocoptus decollatus E W NS 
LINYPHIIDAE,Baryphyma,pratense,(Blackwall, 1861) E S W 
LINYPHIIDAE,Baryphyma,gowerense,(Locket, 1965) E W NI RI NR V 
LINYPHIIDAE,Baryphyma,trifrons,(O. P.-Cambridge, 1863) E S W NI RI 
LINYPHIIDAE,Baryphyma,maritimum,(Crocker & Parker, 1970) E NR NT 
LINYPHIIDAE,Praestigia,duffeyi,Millidge, 1954 Baryphyma duffeyi E RI NR E 
LINYPHIIDAE,Gonatium,rubens,(Blackwall, 1833) E S W NI RI 
LINYPHIIDAE,Gonatium,rubellum,(Blackwall, 1841) E S W NI RI 
LINYPHIIDAE,Gonatium,paradoxum,(L. Koch, 1869) E NR E 
LINYPHIIDAE,Maso,sundevalli,(Westring, 1851) E S W NI RI 
LINYPHIIDAE,Maso,gallicus,Simon, 1894 E W NS 
LINYPHIIDAE,Minicia,marginella,(Wider, 1834) Appendix 2 E RI NR DD 
LINYPHIIDAE,Peponocranium,ludicrum,(O. P.-Cambridge, 1861) E S W NI RI 
LINYPHIIDAE,Pocadicnemis,pumila,(Blackwall, 1841) E S W NI RI 
LINYPHIIDAE,Pocadicnemis,juncea,Locket & Millidge, 1953 E S W NI RI 
LINYPHIIDAE,Hypselistes,jacksoni,(O. P.-Cambridge, 1902) E S W NI RI NS 
LINYPHIIDAE,Oedothorax,gibbosus,(Blackwall, 1841) E S W NI RI 
LINYPHIIDAE,Oedothorax,fuscus,(Blackwall, 1834) E S W NI RI 
LINYPHIIDAE,Oedothorax,agrestis,(Blackwall, 1853) E S W NI RI 
LINYPHIIDAE,Oedothorax,retusus,(Westring, 1851) E S W NI RI 
LINYPHIIDAE,Oedothorax,apicatus,(Blackwall, 1850) E S W RI 
LINYPHIIDAE,Trichopternoides,thorelli,(Westring, 1861) Trichopterna thorelli E S W NI RI 
LINYPHIIDAE,Trichopterna,cito,(O. P.-Cambridge, 1872) E NR E 
LINYPHIIDAE,Pelecopsis,mengei,(Simon, 1884) E S W NI RI 
LINYPHIIDAE,Pelecopsis,parallela,(Wider, 1834) E S W NI RI 
LINYPHIIDAE,Pelecopsis,elongata,(Wider, 1834) S NR NT 
